Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
1123,303,303-13-000032,WO-000019,01/04/2016,6958599,497753,6460846,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1124,303,303-13-000032,WO-000019,01/04/2016,1451609,88548,1363061,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1125,303,303-13-000032,WO-000019,01/04/2016,12877668,902228,11975440,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1126,303,303-13-000032,WO-000019,01/04/2016,300000,30000,270000,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,M/s.Nandish Associates
1127,303,303-13-000032,WO-000019,01/04/2016,14513586,1225254,13288332,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1128,303,303-13-000032,WO-000019,01/04/2016,6333738,406087,5927651,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1129,303,303-13-000032,WO-000019,01/04/2016,6958599,497753,6460846,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1130,303,303-13-000032,WO-000019,01/04/2016,1451609,88548,1363061,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1131,303,303-13-000032,WO-000019,01/04/2016,12877668,902228,11975440,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1132,303,303-13-000032,WO-000019,01/04/2016,300000,30000,270000,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,M/s.Nandish Associates
1133,303,303-13-000032,WO-000019,01/04/2016,14513586,1225254,13288332,Construction of (Hoyasala) Playground and stadium behind Yelahanka bus stand in Yelahanka Assembly Constituency,S.Shivaraju & Co
1134,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1135,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1136,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1137,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1138,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1139,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1140,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1141,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1142,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1143,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1144,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1145,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1146,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1147,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1148,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1149,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1150,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1151,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1152,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1153,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1154,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1155,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1156,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1157,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1158,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1159,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1160,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1161,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1162,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1163,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1164,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1165,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1166,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1167,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1168,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1169,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1170,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1171,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1172,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1173,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1174,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1175,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1176,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1177,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1178,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1179,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1180,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1181,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1182,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1183,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1184,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1185,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1186,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1187,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1188,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1189,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1190,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1191,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1192,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1193,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1194,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1195,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1196,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1197,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1198,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1199,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1200,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1201,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1202,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1203,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1204,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1205,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1206,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1207,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1208,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1209,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1210,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1211,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1212,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1213,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1214,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1215,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1216,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1217,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1218,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1219,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1220,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1221,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1222,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1223,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1224,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1225,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1226,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1227,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1228,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1229,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1230,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1231,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1232,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1233,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1234,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1235,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1236,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1237,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1238,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1239,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1240,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1241,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1242,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1243,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1244,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1245,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1246,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1247,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1248,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1249,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1250,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1251,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1252,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1253,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1254,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1255,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1256,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1257,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1258,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1259,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1260,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1261,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1262,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1263,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
